evt_block_timestamp,block_number,num_minted_in_block,remaining_supply
1650140524,14598516,2,152
1650140570,14598520,2,150
1650140592,14598521,2,148
1650141155,14598566,2,146
1650141244,14598571,2,144
1650142022,14598622,2,142
1650142853,14598680,2,140
1650144815,14598806,2,138
1650146738,14598923,2,136
1650146765,14598925,2,134
1650146936,14598933,2,132
1650147052,14598939,4,128
1650148003,14599020,4,124
1650148131,14599030,2,122
1650148390,14599042,2,120
1650149076,14599093,2,118
1650149821,14599150,2,116
1650150149,14599169,2,114
1650150685,14599209,2,112
1650152208,14599339,2,110
1650152738,14599377,2,108
1650153595,14599452,2,106
1650155064,14599584,2,104
1650155101,14599589,2,102
1650155188,14599597,2,100
1650155473,14599621,2,98
1650157158,14599744,2,96
1650157489,14599766,2,94
1650157541,14599769,4,90
1650160875,14600041,4,86
1650161431,14600071,2,84
1650162614,14600157,2,82
1650164696,14600326,2,80
1650167043,14600487,2,78
1650167101,14600491,2,76
1650169127,14600656,2,74
1650172562,14600916,2,72
1650174583,14601065,2,70
1650179383,14601396,2,68
1650187052,14601930,4,64
1650187164,14601938,2,62
1650191264,14602236,2,60
1650191857,14602285,2,58
1650204502,14603265,2,56
1650206126,14603360,2,54
1650206199,14603368,2,52
1650211270,14603721,2,50
1650211749,14603749,2,48
1650211906,14603760,2,46
1650212486,14603797,2,44
1650212948,14603833,2,42
1650220320,14604370,2,40
1650227073,14604885,2,38
1650229950,14605101,2,36
1650240353,14605911,2,34
1650246115,14606298,2,32
1650248334,14606474,2,30
1650249590,14606567,2,28
1650274004,14608384,2,26
1650324047,14612057,2,24
1650325682,14612183,2,22
1650329898,14612516,2,20
1650383010,14616418,20,0
